Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
1,7/7/2018,201,Noirmoutier-en-l'Île,Fontenay-le-Comte,Flat stage,Fernando Gaviria,COL
2,7/8/2018,182.5,Mouilleron-Saint-Germain,La Roche-sur-Yon,Flat stage,Peter Sagan,SVK
3,7/9/2018,35.5,Cholet,Cholet,Team time trial,BMC Racing Team,
4,7/10/2018,195,La Baule,Sarzeau,Flat stage,Fernando Gaviria,COL
5,7/11/2018,204.5,Lorient,Quimper,Hilly stage,Peter Sagan,SVK
6,7/12/2018,181,Brest,Mûr-de-Bretagne,Hilly stage,Dan Martin,IRL
7,7/13/2018,231,Fougères,Chartres,Flat stage,Dylan Groenewegen,NED
8,7/14/2018,181,Dreux,Amiens,Flat stage,Dylan Groenewegen,NED
9,7/15/2018,156.5,Arras,Roubaix,Hilly stage,John Degenkolb,GER
10,7/17/2018,158.5,Annecy,Le Grand-Bornand,Mountain stage,Julian Alaphilippe,FRA
11,7/18/2018,108.5,Albertville,La Rosière,Mountain stage,Geraint Thomas,GBR
12,7/19/2018,175.5,Bourg-Saint-Maurice,Alpe d'Huez,Mountain stage,Geraint Thomas,GBR
13,7/20/2018,169.5,Le Bourg-d'Oisans,Valence,Flat stage,Peter Sagan,SVK
14,7/21/2018,188,Saint-Paul-Trois-Châteaux,Mende,Hilly stage,Omar Fraile,ESP
15,7/22/2018,181.5,Millau,Carcassonne,Hilly stage,Magnus Cort Nielsen,DNK
16,7/24/2018,218,Carcassonne,Bagnères-de-Luchon,Mountain,Julian Alaphilippe,FRA
17,7/25/2018,65,Bagnères-de-Luchon,Saint-Lary-Soulan (Col de Portet),Mountain stage,Nairo Quintana,COL
18,7/26/2018,171,Trie-sur-Baïse,Pau,Flat,Arnaud Démare,FRA
19,7/27/2018,200.5,Lourdes,Laruns,Mountain stage,Primož Rogli? ,SLO
20,7/28/2018,31,Saint-Pée-sur-Nivelle,Espelette,Individual time trial,Tom Dumoulin, 
21,7/29/2018,116,Houilles,Paris,Flat stage,Alexander Kristoff,NOR
1,7/1/2017,14,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
2,7/2/2017,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
3,7/3/2017,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
4,7/4/2017,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
5,7/5/2017,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
6,7/6/2017,216,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
7,7/7/2017,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
8,7/8/2017,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
9,7/9/2017,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
10,7/11/2017,178,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
11,7/12/2017,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
12,7/13/2017,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
13,7/14/2017,101,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
14,7/15/2017,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
15,7/16/2017,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
16,7/18/2017,165,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
17,7/19/2017,183,La Mure,Serre Chevalier,High mountain stage,Primož Rogli?,SLO
18,7/20/2017,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
19,7/21/2017,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
20,7/22/2017,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
21,7/23/2017,103,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
1,7/2/2016,188,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
2,7/3/2016,183,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
3,7/4/2016,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
4,7/5/2016,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
5,7/6/2016,216,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
6,7/7/2016,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
7,7/8/2016,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
8,7/9/2016,184,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
9,7/10/2016,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
10,7/12/2016,197,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
11,7/13/2016,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
12,7/14/2016,178,Montpellier,Chalet Reynard,High mountain stage,Thomas De Gendt,BEL
13,7/15/2016,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial,Tom Dumoulin,NED
14,7/16/2016,208.5,Montélimar,Villars-les-Dombes,Flat stage,Mark Cavendish,GBR
15,7/17/2016,160,Bourg-en-Bresse,Culoz,High mountain stage,Jarlinson Pantano,COL
16,7/18/2016,209,Moirans-en-Montagne,Bern,Flat stage,Peter Sagan,SVK
17,7/20/2016,184.5,Bern,Finhaut-Émosson,High mountain stage,Ilnur Zakarin,RUS
18,7/21/2016,17,Sallanches,Megève,Mountain time trial,Chris Froome,GBR
19,7/22/2016,146,Albertville,Saint Gervais-les-Bains,High mountain stage,Romain Bardet,FRA
20,7/23/2016,146.5,Megève,Morzine,High mountain stage,Ion Izagirre,ESP
21,7/24/2016,113,Chantilly,Paris,Flat stage,André Greipel,GER
1,7/4/2015,13.8,Utrecht,Utrecht,Individual time trial,Rohan Dennis,AUS
2,7/5/2015,166,Utrecht,Zeeland,Flat stage,André Greipel,GER
3,7/6/2015,159.5,Antwerp,Huy,Flat stage,Joaquim Rodríguez,ESP
4,7/7/2015,223.5,Seraing,Cambrai,Medium mountain stage,Tony Martin,GER
5,7/8/2015,189.5,Arras,Amiens,Flat stage,André Greipel,GER
6,7/9/2015,191.5,Abbeville,Le Havre,Flat stage,Zden?k Štybar,CZE
7,7/10/2015,190.5,Livarot,Fougères,Flat stage,Mark Cavendish,GBR
8,7/11/2015,181.5,Rennes,Mûr-de-Bretagne,Flat stage,Alexis Vuillermoz,FRA
9,7/12/2015,28,Vannes,Plumelec,Team time trial,BMC Racing Team,
10,7/14/2015,167,Tarbes,La Pierre Saint-Martin,High mountain stage,Chris Froome,GBR
11,7/15/2015,188,Pau,Cauterets,High mountain stage,Rafa? Majka,POL
12,7/16/2015,195,Lannemezan,Plateau de Beille,High mountain stage,Joaquim Rodríguez,ESP
13,7/17/2015,198.5,Muret,Rodez,Medium mountain stage,Greg Van Avermaet,BEL
14,7/18/2015,178.5,Rodez,Mende,Medium mountain stage,Steve Cummings,GBR
15,7/19/2015,183,Mende,Valence,Medium mountain stage,André Greipel,GER
16,7/20/2015,201,Bourg-de-Péage,Gap,Medium mountain stage,Rubén Plaza Molina,ESP
17,7/22/2015,161,Digne-les-Bains,Pra-Loup,High mountain stage,Simon Geschke,GER
18,7/23/2015,186.5,Gap,Saint-Jean-de-Maurienne,High mountain stage,Romain Bardet,FRA
19,7/24/2015,138,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,High mountain stage,Vincenzo Nibali,ITA
20,7/25/2015,110.5,Modane,Alpe d'Huez,High mountain stage,Thibaut Pinot,FRA
21,7/26/2015,109.5,Sèvres,Paris,Flat stage,André Greipel,GER
1,7/5/2014,190.5,Leeds,Harrogate,Flat stage,Marcel Kittel,GER
2,7/6/2014,201,York,Sheffield,Medium mountain stage,Vincenzo Nibali,ITA
3,7/7/2014,155,Cambridge,London,Flat stage,Marcel Kittel,GER
4,7/8/2014,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage,Marcel Kittel,GER
5,7/9/2014,152.5,Ypres,Arenberg Porte du Hainaut,Medium mountain stage,Lars Boom,NED
6,7/10/2014,194,Arras,Reims,Flat stage,André Greipel,GER
7,7/11/2014,234.5,Épernay,Nancy,Flat stage,Matteo Trentin,ITA
8,7/12/2014,161,Tomblaine,Gérardmer La Mauselaine,Medium mountain stage,Blel Kadri,FRA
9,7/13/2014,170,Gérardmer,Mulhouse,Medium mountain stage,Tony Martin,GER
10,7/14/2014,161.5,Mulhouse,La Planche des Belles Filles,High mountain stage,Vincenzo Nibali,ITA
11,7/16/2014,187.5,Besançon,Oyonnax,Medium mountain stage,Tony Gallopin,FRA
12,7/17/2014,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage,Alexander Kristoff,NOR
13,7/18/2014,197.5,Saint-Étienne,Chamrousse,High mountain stage,Vincenzo Nibali,ITA
14,7/19/2014,177,Grenoble,Risoul,High mountain stage,Rafa? Majka,POL
15,7/20/2014,222,Tallard,Nîmes,Flat stage,Alexander Kristoff,NOR
16,7/22/2014,237.5,Carcassonne,Bagnères-de-Luchon,High mountain stage,Michael Rogers,AUS
17,7/23/2014,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,High mountain stage,Rafa? Majka,POL
18,7/24/2014,145.5,Pau,Hautacam,High mountain stage,Vincenzo Nibali,ITA
19,7/25/2014,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage,Ram?nas Navardauskas,LTU
20,7/26/2014,54,Bergerac,Périgueux,Individual time trial,Tony Martin,GER
21,7/27/2014,137.5,Évry,Paris,Flat stage,Marcel Kittel,GER
1,6/29/2013,213,Porto-Vecchio,Bastia,Flat stage,Marcel Kittel,GER
2,6/30/2013,156,Bastia,Ajaccio,Medium mountain stage,Jan Bakelants,BEL
3,7/1/2013,145.5,Ajaccio,Calvi,Medium mountain stage,Simon Gerrans,AUS
4,7/2/2013,25,Nice,Nice,Team time trial,Orica–GreenEDGE,
5,7/3/2013,228.5,Cagnes-sur-Mer,Marseille,Flat stage,Mark Cavendish,GBR
6,7/4/2013,176.5,Aix-en-Provence,Montpellier,Flat stage,André Greipel,GER
7,7/5/2013,205.5,Montpellier,Albi,Flat stage,Peter Sagan,SVK
8,7/6/2013,195,Castres,Ax 3 Domaines,High mountain stage,Chris Froome,GBR
9,7/7/2013,168.5,Saint-Girons,Bagnères-de-Bigorre,High mountain stage,Dan Martin,IRL
10,7/9/2013,197,Saint-Gildas-des-Bois,Saint-Malo,Flat stage,Marcel Kittel,GER
11,7/10/2013,33,Avranches,Mont Saint-Michel,Individual time trial,Tony Martin,GER
12,7/11/2013,218,Fougères,Tours,Flat stage,Marcel Kittel,GER
13,7/12/2013,173,Tours,Saint-Amand-Montrond,Flat stage,Mark Cavendish,GBR
14,7/13/2013,191,Saint-Pourçain-sur-Sioule,Lyon,Medium mountain stage,Matteo Trentin,ITA
15,7/14/2013,242.5,Givors,Mont Ventoux,High mountain stage,Chris Froome,GBR
16,7/16/2013,168,Vaison-la-Romaine,Gap,High mountain stage,Rui Costa,POR
17,7/17/2013,32,Embrun,Chorges,Individual time trial,Chris Froome,GBR
18,7/18/2013,172.5,Gap,Alpe d'Huez,High mountain stage,Christophe Riblon,FRA
19,7/19/2013,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,High mountain stage,Rui Costa,POR
20,7/20/2013,125,Annecy,Semnoz,High mountain stage,Nairo Quintana,COL
21,7/21/2013,133.5,Versailles,Paris,Flat stage,Marcel Kittel,GER
P,6/30/2012,6.4,Liège,Liège,Individual time trial,Fabian Cancellara,SUI
1,7/1/2012,198,Liège,Seraing,Flat stage,Peter Sagan,SVK
2,7/2/2012,207.5,Visé,Tournai,Flat stage,Mark Cavendish,GBR
3,7/3/2012,197,Orchies,Boulogne-sur-Mer,Medium mountain stage,Peter Sagan,SVK
4,7/4/2012,214.5,Abbeville,Rouen,Flat stage,André Greipel,GER
5,7/5/2012,196.5,Rouen,Saint-Quentin,Flat stage,André Greipel,GER
6,7/6/2012,207.5,Épernay,Metz,Flat stage,Peter Sagan,SVK
7,7/7/2012,199,Tomblaine,La Planche des Belles Filles,Medium mountain stage,Chris Froome,GBR
8,7/8/2012,157.5,Belfort,Porrentruy,Medium mountain stage,Thibaut Pinot,FRA
9,7/9/2012,41.5,Arc-et-Senans,Besançon,Individual time trial,Bradley Wiggins,GBR
10,7/11/2012,194.5,Mâcon,Bellegarde-sur-Valserine,High mountain stage,Thomas Voeckler,FRA
11,7/12/2012,148,Albertville,La Toussuire-Les Sybelles,High mountain stage,Pierre Rolland,FRA
12,7/13/2012,226,Saint-Jean-de-Maurienne,Annonay-Davézieux,Medium mountain stage,David Millar,GBR
13,7/14/2012,217,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage,André Greipel,GER
14,7/15/2012,191,Limoux,Foix,High mountain stage,Luis León Sánchez,ESP
15,7/16/2012,158.5,Samatan,Pau,Flat stage,Pierrick Fédrigo,FRA
16,7/18/2012,197,Pau,Bagnères-de-Luchon,High mountain stage,Thomas Voeckler,FRA
17,7/19/2012,143.5,Bagnères-de-Luchon,Peyragudes,High mountain stage,Alejandro Valverde,ESP
18,7/20/2012,222.5,Blagnac,Brive-la-Gaillarde,Flat stage,Mark Cavendish,GBR
19,7/21/2012,53.5,Bonneval,Chartres,Individual time trial,Bradley Wiggins,GBR
20,7/22/2012,120,Rambouillet,Paris,Flat stage,Mark Cavendish,GBR
1,7/2/2011,191.5,Passage du Gois,Mont des Alouettes,Flat stage,Philippe Gilbert,BEL
2,7/3/2011,23,Les Essarts,Les Essarts,Team time trial,Garmin–Cervélo,
3,7/4/2011,198,Olonne-sur-Mer,Redon,Flat stage,Tyler Farrar,USA
4,7/5/2011,172.5,Lorient,Mûr-de-Bretagne,Flat stage,Cadel Evans,AUS
5,7/6/2011,164.5,Carhaix,Cap Fréhel,Flat stage,Mark Cavendish,GBR
6,7/7/2011,226.5,Dinan,Lisieux,Flat stage,Edvald Boasson Hagen,NOR
7,7/8/2011,218,Le Mans,Châteauroux,Flat stage,Mark Cavendish,GBR
8,7/9/2011,189,Aigurande,Super Besse,Medium mountain stage,Rui Costa,POR
